ID,Area,Competitor,Beds,Baths,Model,Security Deposit,Report Date,Type,Pricing,Sqft,Available,Unit,Address,URL,Bed/Baths
525 LINC 3A,Brighton Area,525 LINC,3,2,3A,,12/17/2024,Grid,1950,344,Now,515B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,3 Bed 2 Bath
525 LINC 4A,Brighton Area,525 LINC,4,2,4A,,12/17/2024,Grid,1925,293,Now,516B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4C,Brighton Area,525 LINC,4,3,4C,,12/17/2024,Grid,1900,333,Now,513B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4C,Brighton Area,525 LINC,4,3,4C,,12/17/2024,Grid,1900,333,"Jan 5, 2025",313C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4C,Brighton Area,525 LINC,4,3,4C,,12/17/2024,Grid,1900,333,"Feb 5, 2025",413B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 3 Bath
525 LINC 4H1,Brighton Area,525 LINC,4,2,4H1,,12/17/2024,Grid,1925,316,"Jan 5, 2025",301D,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Brighton Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,348,Now,407B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Brighton Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,348,Now,409C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Brighton Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,332,Now,412C,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
525 LINC 4DA,Brighton Area,525 LINC,4,2,4DA,,12/17/2024,Grid,1900,332,"Jan 5, 2025",310B,"525 Lincoln St, Allston, MA 02134",https://www.apartments.com/525-linc-allston-ma/2x035m8/,4 Bed 2 Bath
