ID,Area,Competitor,Beds,Baths,Model,Security Deposit,Report Date,Type,Pricing,Sqft,Available,Unit,Address,URL,Bed/Baths
Villas Las Naranjas Studio,Tucson,Villas Las Naranjas,0,1,Studio,,12/24/2024,Grid,869,470,Now,Studio*,"1345 S Kolb Rd, Tucson, AZ 85710",https://www.apartments.com/villas-las-naranjas-tucson-az/55yqm9p/,0 Bed 1 Bath
Villas Las Naranjas 1x1,Tucson,Villas Las Naranjas,1,1,1x1,,12/24/2024,Grid,999,704,Now,A2*,"1345 S Kolb Rd, Tucson, AZ 85710",https://www.apartments.com/villas-las-naranjas-tucson-az/55yqm9p/,1 Bed 1 Bath
Sahara Studio 285,Tucson,Sahara,0,1,Studio 285,,12/24/2024,Grid,749,285,Now,AUCMML,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Sahara Studio 340ADA,Tucson,Sahara,0,1,Studio 340ADA,,12/24/2024,Grid,779,336,Now,AUCPCA,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Sahara Studio 340ADA,Tucson,Sahara,0,1,Studio 340ADA,,12/24/2024,Grid,799,336,Now,AUCPAX,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Sahara Studio 340B,Tucson,Sahara,0,1,Studio 340B,,12/24/2024,Grid,809,336,Now,AUCMWD,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Sahara Studio 340B,Tucson,Sahara,0,1,Studio 340B,,12/24/2024,Grid,809,336,Now,AUCMPT,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Sahara Studio 340B,Tucson,Sahara,0,1,Studio 340B,,12/24/2024,Grid,809,336,Now,AUCMPC,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Sahara Studio 340A,Tucson,Sahara,0,1,Studio 340A,,12/24/2024,Grid,829,340,Now,AUCMTG,"919 N Stone Ave, Tucson, AZ 85705",https://www.apartments.com/sahara-tucson-az/z50xyrz/,0 Bed 1 Bath
Villas Las Toronjas II 1X1,Tucson,Villas Las Toronjas II,0,1,1X1,,12/24/2024,Grid,850,400,Now,Studio1*,"6821 E Broadway Blvd, Tucson, AZ 85710",https://www.apartments.com/villas-las-toronjas-ii-tucson-az/4pvrcvh/,0 Bed 1 Bath
